iter	RMSE
0	1.458123232
1	1.365835913
2	1.283874795
3	1.206096315
4	1.132134167
5	1.065056717
6	1.0020051
7	0.9442407634
8	0.8922453186
9	0.8409494353
10	0.7933501227
11	0.7487639713
12	0.708508035
13	0.6720629643
14	0.6384940058
15	0.6070990795
16	0.5779851761
17	0.5531884186
18	0.5284039796
19	0.505751393
20	0.4852997972
21	0.4668100734
22	0.4503271948
23	0.4347379523
24	0.419689136
25	0.4062208777
26	0.3934414113
27	0.3810615323
28	0.3701677736
29	0.3595036421
30	0.3502834145
31	0.3421535914
32	0.3335142949
33	0.3258107361
34	0.3187494255
35	0.3124835043
36	0.3061105155
37	0.3011131081
38	0.2954783575
39	0.2901480769
40	0.2850147501
41	0.2802907764
42	0.2761952556
43	0.2723382374
44	0.2685631071
45	0.2651978427
46	0.2616428309
47	0.2580458494
48	0.2549562683
49	0.2522177555
50	0.2496009354
51	0.246828638
52	0.244208685
53	0.2420330064
54	0.2398047812
55	0.2376621556
56	0.2354527432
57	0.233337627
58	0.2317049684
59	0.2298424844
60	0.2280947587
61	0.2265940564
62	0.2248325158
63	0.2230383753
64	0.2213997996
65	0.219715893
66	0.2183708033
67	0.2172437664
68	0.2158751068
69	0.214796457
70	0.2135541621
71	0.2119510212
72	0.2109767243
73	0.2096871899
74	0.2088398853
75	0.2077390024
76	0.2069013635
77	0.2056931569
78	0.2049802487
79	0.2040431641
80	0.2029456647
81	0.2020114233
82	0.2013210202
83	0.200374248
84	0.1995349155
85	0.1987461122
86	0.197941308
87	0.1969708027
88	0.1961610132
89	0.1953621879
90	0.1947522649
91	0.1941251274
92	0.1933910028
93	0.1928841878
94	0.1923475097
95	0.1916472273
96	0.191067465
97	0.1906397
98	0.1902045616
99	0.1896485028
100	0.1891691644
101	0.1886337397
102	0.1882445011
103	0.1878387145
104	0.1872718865
105	0.1868184406
106	0.1863079991
107	0.1860136583
108	0.1855066133
109	0.1851735223
110	0.1846688033
111	0.1842211188
112	0.1838742735
113	0.183348738
114	0.1829769032
115	0.182618953
116	0.1821319326
117	0.1818540223
118	0.1813851933
119	0.1808631294
120	0.1806201187
121	0.1803482567
122	0.1800577695
123	0.1796067187
124	0.1790544546
125	0.1786659188
126	0.1783666125
127	0.1779997355
128	0.177667985
129	0.1774148074
130	0.1771882666
131	0.1769449496
132	0.1766424739
133	0.1763414502
134	0.1757657741
135	0.175438512
136	0.1752246838
137	0.1749625972
138	0.174609819
139	0.1741692886
140	0.1737025761
141	0.1735028331
142	0.1729969149
143	0.1727586103
144	0.1724748853
145	0.1721974758
146	0.1719487229
147	0.171669808
148	0.1714236611
149	0.1712044128
150	0.1708132714
151	0.1703822593
152	0.1700533134
153	0.169787304
154	0.169554149
155	0.1693413696
156	0.1691676264
157	0.1690011075
158	0.1686963589
159	0.168497905
160	0.1683504895
161	0.1681470794
162	0.1679356195
163	0.167753349
164	0.1674261811
165	0.167196397
166	0.1669349719
167	0.1667992557
168	0.1666575036
169	0.1664527511
170	0.1660704357
171	0.1659170075
172	0.1657310972
173	0.1654574097
174	0.1652992471
175	0.1651070985
176	0.1648739441
177	0.1647445713
178	0.1645853835
179	0.1644016933
180	0.1642780673
181	0.163986207
182	0.1638439531
183	0.1636642869
184	0.1635198564
185	0.1633246599
186	0.1631861702
187	0.1630514793
188	0.162945324
189	0.1627902566
190	0.1626611246
191	0.1624847024
192	0.1623353328
193	0.1622065287
194	0.162075088
195	0.1619441726
196	0.16180576
197	0.1615273891
198	0.1614308676
199	0.1613336753
200	0.1612144111
201	0.1610540095
202	0.1609458632
203	0.1608357965
204	0.1606742048
205	0.1605683754
206	0.1604619495
207	0.1603406391
208	0.1601943873
209	0.160064505
210	0.159735155
211	0.159526953
212	0.1593669692
213	0.1591279346
214	0.1590100658
215	0.158907918
216	0.1586803716
217	0.1585777888
218	0.1584637797
219	0.1583242698
220	0.1581094884
221	0.1580282572
222	0.1579464667
223	0.1577884405
224	0.157666933
225	0.1575551071
226	0.1574447417
227	0.1573258537
228	0.1572314611
229	0.1571552836
230	0.1570192815
231	0.156918582
232	0.1567142414
233	0.1566140901
234	0.1565149953
235	0.1563004828
236	0.1562298448
237	0.15614599
238	0.155994087
239	0.1558846375
240	0.1557764189
241	0.1557163867
242	0.1556010412
243	0.1554836623
244	0.1553565144
245	0.1552500889
246	0.1551335032
247	0.1550467427
248	0.1548361644
249	0.1547539977
250	0.1546795849
251	0.154600337
252	0.154523608
253	0.1544494681
254	0.1543511027
255	0.1542478459
256	0.1541506496
257	0.1539321207
258	0.1537923059
259	0.1536708174
260	0.1535986574
261	0.1534939331
262	0.1534195909
263	0.1533255402
264	0.1532286289
265	0.1531094203
266	0.1530318815
267	0.1529658804
268	0.1528948935
269	0.152691336
270	0.1525611018
271	0.1524693786
272	0.1523602049
273	0.1522976398
274	0.1521468533
275	0.1520007073
276	0.1519007849
277	0.1518505502
278	0.1517767604
279	0.1517089055
280	0.1516005651
281	0.1513265994
282	0.151250624
283	0.1511444865
284	0.1510584551
285	0.1509978246
286	0.1509354883
287	0.1507632112
288	0.1507117295
289	0.1505579449
290	0.150498575
291	0.1504386878
292	0.1503315384
293	0.1502409453
294	0.1501865289
295	0.1500820143
296	0.1499630089
297	0.1498020157
298	0.1496275091
299	0.1495720268
300	0.1493232625
301	0.1491901204
302	0.1491315506
303	0.1490478288
304	0.1488469466
305	0.1487889424
306	0.1486563972
307	0.1485837724
308	0.1485396547
309	0.1484425685
310	0.1483059721
311	0.1482021395
312	0.1481077833
313	0.1479506395
314	0.1478117842
315	0.1477272036
316	0.147624868
317	0.1475462193
318	0.1473239239
319	0.147194832
320	0.1471142766
321	0.1470409354
322	0.1468382366
323	0.1467156691
324	0.1466173647
325	0.1464839132
326	0.1464051897
327	0.1463230552
328	0.1462127589
329	0.1461539101
330	0.1460550128
331	0.1459818586
332	0.1459123917
333	0.1458533962
334	0.1456827895
335	0.1454885995
336	0.1454363899
337	0.1453583178
338	0.1453075956
339	0.145216678
340	0.1450307566
341	0.144954555
342	0.1448642974
343	0.1447470609
344	0.1446873189
345	0.1445758962
346	0.1445287392
347	0.144454698
348	0.1443706137
349	0.1442699301
350	0.1442248524
351	0.1440760109
352	0.1439676307
353	0.1438523793
354	0.1437645809
355	0.1436526377
356	0.1435486246
357	0.1435013064
358	0.1434643753
359	0.1434291013
360	0.1433246198
361	0.1432831285
362	0.1431809587
363	0.1430917508
364	0.1429216631
365	0.1428558161
366	0.1427842795
367	0.1426891797
368	0.1426312987
369	0.1423878158
370	0.1421795079
371	0.1420936237
372	0.1419737037
373	0.1418646828
374	0.1417596521
375	0.1415817216
376	0.141494963
377	0.1413865571
378	0.1413052752
379	0.1412100094
380	0.1410624735
381	0.1409769433
382	0.1408612428
383	0.140727749
384	0.1405502674
385	0.140501775
386	0.1404202328
387	0.1403288871
388	0.1402028453
389	0.1399946054
390	0.1398778281
391	0.1397821328
392	0.1397430243
393	0.1394665669
394	0.1393032939
395	0.1392316592
396	0.1391415817
397	0.1390884019
398	0.138949081
399	0.1387109899
400	0.1384778584
401	0.1383425725
402	0.1382820991
403	0.1382389216
404	0.1380996007
405	0.1380697579
406	0.1380236271
407	0.1379938662
408	0.1378999484
409	0.1378310589
410	0.1377543258
411	0.1376052665
412	0.1375024594
413	0.137407702
414	0.1373410742
415	0.1373017453
416	0.1372797844
417	0.137216528
418	0.1371883941
419	0.1370372193
420	0.1367896703
421	0.1367124962
422	0.1366849986
423	0.1364693879
424	0.1363134022
425	0.1362408735
426	0.1362170458
427	0.1361017856
428	0.1359583054
429	0.1357779573
430	0.1357413119
431	0.1356754936
432	0.1354799212
433	0.1354043753
434	0.1353418039
435	0.1352385498
436	0.1351836422
437	0.1351651652
438	0.1350710437
439	0.1349857769
440	0.1348934229
441	0.1348380649
442	0.1347904828
443	0.1347354162
444	0.1345473509
445	0.1343573384
446	0.1343163746
447	0.1342482743
448	0.1341717653
449	0.1340256295
450	0.1340050855
451	0.1339203206
452	0.133784349
453	0.1337433686
454	0.1337029724
455	0.1336671329
456	0.1335689219
457	0.1335377684
458	0.133485786
459	0.1333013048
460	0.1331766235
461	0.1330871607
462	0.1330046999
463	0.132971574
464	0.1328171144
465	0.1326705717
466	0.1326427594
467	0.1324770259
468	0.1324512256
469	0.1323124334
470	0.1322134017
471	0.1320839506
472	0.1319967343
473	0.1319440287
474	0.1318199093
475	0.131764563
476	0.1316081818
477	0.1315731699
478	0.1315416783
479	0.1314272023
480	0.1313061359
481	0.1312731212
482	0.1311039526
483	0.1309425452
484	0.1308099104
485	0.1306960161
486	0.1306654958
487	0.1306061163
488	0.1305168085
489	0.1304239919
490	0.130279263
491	0.1302244214
492	0.1301390749
493	0.1300144722
494	0.1299542563
495	0.1298160899
496	0.1296764993
497	0.1296248463
498	0.1295542894
499	0.1294353914
500	0.1293621872
501	0.1292810756
502	0.1291914161
503	0.1290908661
504	0.1290233071
505	0.1289347187
506	0.128888358
507	0.1288393062
508	0.1287814357
509	0.128626145
510	0.1285249464
511	0.1283566228
512	0.128274661
513	0.1281699378
514	0.1281383712
515	0.1280084389
516	0.1278712348
517	0.1277508581
518	0.1277012188
519	0.1276654762
520	0.1275187202
521	0.1273634623
522	0.1272906488
523	0.1271961903
524	0.1270785474
525	0.126990948
526	0.1268877271
527	0.1267900589
528	0.1266883349
529	0.1266324179
530	0.1265461457
531	0.126470852
532	0.1263759203
533	0.1262451089
534	0.1261693385
535	0.1260565038
536	0.1259314197
537	0.1257990319
538	0.1256304651
539	0.1255664926
540	0.1254865096
541	0.1253928849
542	0.1253074796
543	0.1251579188
544	0.1250813485
545	0.125021845
546	0.1249176992
547	0.1248098476
548	0.1246822373
549	0.1245809505
550	0.1244905434
551	0.1244450827
552	0.1243031015
553	0.1242403418
554	0.1241439767
555	0.1241079526
556	0.1240792516
557	0.1240110034
558	0.1239488522
559	0.1238557231
560	0.1237895137
561	0.1236420898
562	0.1235159096
563	0.1234040744
564	0.1233857539
565	0.1232905807
566	0.1231867413
567	0.123117503
568	0.1230902124
569	0.1229951965
570	0.122948613
571	0.1228819038
572	0.1228486389
573	0.1228284083
574	0.1227988584
575	0.1227254779
576	0.1226887389
577	0.1226308123
578	0.1225454172
579	0.1224956739
580	0.1224214313
581	0.1223585034
582	0.1222765746
583	0.1222258849
584	0.1221918559
585	0.1221380244
586	0.1220951873
587	0.122001659
588	0.1218840777
589	0.1218144346
590	0.1217683428
591	0.1216901042
592	0.1216291123
593	0.1215488434
594	0.1215162649
595	0.1214433447
596	0.1214033586
597	0.121356674
598	0.1212906888
599	0.1211715394
600	0.121098708
601	0.1210677214
602	0.1209672222
603	0.1209406783
604	0.1209165277
605	0.1207784638
606	0.1206668435
607	0.12060248
608	0.1205423064
609	0.1204224441
610	0.1203185285
611	0.1202886552
612	0.1202714094
613	0.1202268405
614	0.1201882986
615	0.1200748163
616	0.1199514594
617	0.1198700836
618	0.1198492262
619	0.1197423555
620	0.1196495257
621	0.1195824912
622	0.1195459569
623	0.119423795
624	0.1193386022
625	0.1192265581
626	0.119186678
627	0.1190884344
628	0.1189928727
629	0.1189043395
630	0.118824469
631	0.118737737
632	0.1186814549
633	0.1185960587
634	0.1185015218
635	0.1184361155
636	0.1183694564
637	0.1183253027
638	0.1182744122
639	0.1181245526
640	0.1181023617
641	0.1180158644
642	0.1179666231
643	0.1179018347
644	0.1178602838
645	0.1178290799
646	0.1177961628
647	0.1177728458
648	0.1177146553
649	0.1176565602
650	0.1175851887
651	0.1174995501
652	0.1174355477
653	0.1173774986
654	0.1173060318
655	0.117228095
656	0.1171505571
657	0.1170817702
658	0.1169900073
659	0.1169063749
660	0.1168447968
661	0.116761286
662	0.1166921657
663	0.1166154181
664	0.11648382
665	0.1164261644
666	0.1163410417
667	0.1162603197
668	0.1161612607
669	0.1161161043
670	0.1160240661
671	0.1159892703
672	0.1159494589
673	0.1158674576
674	0.1158302276
675	0.1157686458
676	0.1157300763
677	0.1156467475
678	0.1156156648
679	0.1155556238
680	0.1155255414
681	0.1154607192
682	0.1154248971
683	0.115344892
684	0.1153071805
685	0.115250809
686	0.1152057292
687	0.1151738754
688	0.1151171669
689	0.1150642486
690	0.1150192432
691	0.1149683985
692	0.1148766065
693	0.1147784884
694	0.1147573271
695	0.11468032
696	0.114625261
697	0.1145989023
698	0.1145430989
699	0.1144647928
700	0.114425708
701	0.1143946336
702	0.1143082335
703	0.1142269574
704	0.1141417219
705	0.1140944257
706	0.1140418661
707	0.1140016727
708	0.1139319739
709	0.1139018127
710	0.1138349547
711	0.1137937912
712	0.1137720938
713	0.1137094907
714	0.113596703
715	0.1135396538
716	0.113444624
717	0.1133925863
718	0.113370141
719	0.11331282
720	0.1132560217
721	0.113216837
722	0.1131337513
723	0.1130290112
724	0.1129707366
725	0.1128885499
726	0.1127925116
727	0.1127599719
728	0.1127139964
729	0.1126522905
730	0.1125979098
731	0.1125654877
732	0.1125175334
733	0.1125051551
734	0.1124328482
735	0.1123710667
736	0.1123458167
737	0.1123074513
738	0.1122853546
739	0.1122419266
740	0.1121933949
741	0.112143877
742	0.1121073901
743	0.1120846124
744	0.1120156411
745	0.1119811322
746	0.1119248214
747	0.1118564457
748	0.1118038396
749	0.1117253943
750	0.1116768947
751	0.1116415036
752	0.1116018618
753	0.1115653923
754	0.1115484571
755	0.111472809
756	0.1114499721
757	0.1113621573
758	0.1112950935
759	0.1112642054
760	0.1111985264
761	0.1111712585
762	0.1110871514
763	0.1109892985
764	0.1109165127
765	0.1107735926
766	0.110732654
767	0.1106564044
768	0.1106350456
769	0.1105848272
770	0.1105132276
771	0.1104626755
772	0.1104495728
773	0.1104275052
774	0.1103585645
775	0.1103359394
776	0.1102988476
777	0.1102155249
778	0.1101627834
779	0.1100797258
780	0.1100268218
781	0.1099848646
782	0.1099557098
783	0.1099057035
784	0.1098928351
785	0.1098188036
786	0.1097858268
787	0.1097666257
788	0.1097444867
789	0.1096805212
790	0.1096379047
791	0.109575285
792	0.1094943526
793	0.1094216625
794	0.1093589743
795	0.1093461546
796	0.1092837597
797	0.1092480129
798	0.1091982314
799	0.1091441664
800	0.1091013359
801	0.1090724518
802	0.109009576
803	0.1089585769
804	0.108887128
805	0.108808789
806	0.1087802547
807	0.1087405808
808	0.1086909316
809	0.1086488128
810	0.1085756768
811	0.1085111155
812	0.1084405455
813	0.1084071167
814	0.1083239969
815	0.1082649028
816	0.1082215225
817	0.1081969537
818	0.1081748966
819	0.1080908222
820	0.1080629246
821	0.1079707046
822	0.10793988
823	0.1078472622
824	0.1077836054
825	0.1077359123
826	0.1076583691
827	0.107631434
828	0.1075554232
829	0.1074752672
830	0.1074520621
831	0.1073798095
832	0.1073424037
833	0.107283777
834	0.107231402
835	0.1071763711
836	0.1071070841
837	0.1070250143
838	0.1069499127
839	0.1069111999
840	0.1068784682
841	0.1068650867
842	0.106815422
843	0.1067666125
844	0.1067097017
845	0.1066871802
846	0.1066293165
847	0.1065978916
848	0.1065462158
849	0.1064992924
850	0.1064056822
851	0.1063847634
852	0.1063767757
853	0.1063158047
854	0.10625049
855	0.1062196829
856	0.106135163
857	0.1060591374
858	0.10600191
859	0.1058936407
860	0.1058313033
861	0.105749099
862	0.1056853913
863	0.105621285
864	0.1056002366
865	0.1055465078
866	0.1054917036
867	0.1054303692
868	0.1054008187
