iter	Passed	Remaining
0	5	5004
1	24	12165
2	27	9193
3	31	7767
4	34	6859
5	37	6246
6	40	5808
7	44	5474
8	47	5234
9	50	5022
10	53	4830
11	56	4667
12	60	4559
13	63	4495
14	67	4429
15	71	4387
16	74	4302
17	77	4228
18	82	4241
19	85	4207
20	89	4169
21	92	4117
22	96	4110
23	100	4079
24	103	4036
25	106	3990
26	109	3948
27	113	3927
28	116	3894
29	119	3862
30	122	3833
31	125	3803
32	129	3787
33	132	3759
34	135	3732
35	138	3709
36	141	3685
37	144	3669
38	148	3648
39	151	3626
40	154	3607
41	157	3585
42	160	3577
43	164	3574
44	168	3573
45	172	3573
46	176	3574
47	179	3560
48	182	3545
49	185	3531
50	188	3515
51	192	3505
52	195	3493
53	198	3480
54	201	3465
55	204	3451
56	208	3442
57	211	3431
58	214	3423
59	217	3412
60	221	3403
61	224	3396
62	227	3389
63	231	3378
64	234	3371
65	237	3363
66	241	3356
67	244	3348
68	247	3340
69	250	3332
70	254	3325
71	257	3315
72	260	3306
73	263	3301
74	266	3292
75	270	3287
76	273	3279
77	276	3274
78	280	3265
79	283	3259
80	286	3253
81	290	3251
82	293	3243
83	296	3237
84	299	3228
85	303	3224
86	306	3216
87	309	3209
88	312	3200
89	316	3196
90	319	3190
91	322	3184
92	326	3181
93	329	3177
94	333	3174
95	336	3168
96	339	3160
97	342	3155
98	346	3149
99	349	3145
100	352	3139
101	355	3131
102	358	3125
103	362	3119
104	365	3115
105	368	3108
106	372	3105
107	375	3098
108	378	3094
109	381	3087
110	384	3082
111	388	3076
112	391	3071
113	394	3065
114	397	3061
115	401	3058
116	404	3052
117	407	3047
118	411	3045
119	415	3044
120	418	3043
121	422	3037
122	425	3033
123	428	3028
124	431	3023
125	435	3018
126	438	3015
127	442	3011
128	445	3005
129	448	3000
130	451	2994
131	454	2989
132	457	2983
133	461	2979
134	464	2973
135	467	2972
136	470	2966
137	474	2961
138	477	2956
139	480	2953
140	484	2949
141	487	2944
142	490	2938
143	493	2934
144	497	2930
145	500	2925
146	503	2920
147	506	2916
148	509	2912
149	513	2908
150	516	2903
151	519	2898
152	522	2894
153	525	2888
154	529	2885
155	532	2880
156	535	2877
157	538	2872
158	542	2868
159	545	2864
160	549	2861
161	552	2855
162	555	2850
163	558	2846
164	561	2842
165	565	2838
166	568	2834
167	571	2829
168	575	2829
169	579	2827
170	582	2823
171	585	2818
172	588	2814
173	592	2810
174	595	2806
175	598	2801
176	601	2796
177	605	2795
178	608	2789
179	611	2786
180	614	2781
181	618	2779
182	621	2774
183	624	2770
184	627	2765
185	631	2762
186	634	2758
187	637	2754
188	640	2749
189	644	2746
190	647	2741
191	650	2737
192	653	2733
193	656	2728
194	660	2725
195	663	2720
196	666	2716
197	669	2712
198	672	2708
199	676	2704
200	679	2701
201	682	2696
202	686	2693
203	689	2688
204	693	2688
205	697	2688
206	701	2686
207	704	2682
208	709	2683
209	713	2683
210	717	2682
211	720	2679
212	726	2682
213	729	2681
214	734	2680
215	737	2675
216	742	2677
217	745	2675
218	749	2674
219	753	2671
220	758	2675
221	763	2674
222	766	2670
223	769	2666
224	774	2668
225	777	2663
226	780	2658
227	783	2653
228	787	2649
229	790	2647
230	794	2644
231	798	2641
232	801	2637
233	806	2639
234	809	2636
235	813	2634
236	816	2630
237	821	2631
238	825	2629
239	830	2629
240	833	2626
241	838	2626
242	842	2624
243	846	2622
244	850	2619
245	854	2620
246	858	2618
247	862	2615
248	866	2611
249	870	2611
250	874	2608
251	877	2605
252	881	2601
253	884	2597
254	889	2597
255	893	2596
256	896	2592
257	900	2589
258	905	2589
259	909	2587
260	912	2582
261	915	2578
262	920	2579
263	924	2576
264	927	2573
265	930	2568
266	936	2570
267	940	2567
268	943	2564
269	947	2560
270	952	2561
271	955	2557
272	959	2555
273	962	2551
274	968	2552
275	971	2549
276	976	2547
277	979	2543
278	984	2544
279	988	2543
280	992	2540
281	995	2535
282	1001	2536
283	1005	2533
284	1008	2530
285	1012	2526
286	1017	2526
287	1021	2524
288	1024	2521
289	1028	2517
290	1033	2517
291	1036	2514
292	1040	2511
293	1043	2506
294	1049	2507
295	1053	2504
296	1056	2501
297	1060	2497
298	1065	2498
299	1069	2495
300	1073	2492
301	1076	2489
302	1080	2486
303	1083	2481
304	1087	2477
305	1090	2472
306	1093	2469
307	1097	2464
308	1100	2460
309	1103	2456
310	1106	2452
311	1110	2448
312	1113	2443
313	1116	2439
314	1120	2435
315	1123	2431
316	1126	2427
317	1129	2423
318	1133	2418
319	1136	2414
320	1140	2411
321	1144	2409
322	1147	2405
323	1151	2401
324	1154	2397
325	1158	2394
326	1161	2390
327	1164	2386
328	1168	2382
